env.set_additional_goal,algo,env.reward_type,env,loss_vf_loss,TimeElapsed,EpLenMean,EpThisIter,ev_tdlam_before,EpisodesSoFar,loss_ent,TimestepsSoFar,loss_kl,loss_pol_entpen,loss_pol_surr,EpRewMean,suc_percent,best_suc_percent,success percentage,perf_flag
angle,ppo,hand_craft,PlanarQuadEnv-v0,,,,,,,,,,,,,,,,
,,,,202219.61,23.341492891311646,11.208791208791208,91,8.83340835571289e-05,91,1.4739072,1020,0.011418341,0.0,-0.026249956,-531.6614899553572,,,,
,,,,154327.05,46.41266131401062,11.98,83,-0.0016347169876098633,174,1.464583,2033,0.011962015,0.0,-0.025285296,-480.4286554687501,,,,
,,,,172880.66,69.37003755569458,12.97,77,-0.004412531852722168,251,1.4562701,3070,0.0066717104,0.0,-0.024539126,-504.1117582031251,,,,
,,,,145426.05,93.52266669273376,12.97,78,-0.0019948482513427734,329,1.4559116,4095,0.011974025,0.0,-0.028652404,-487.1952562500001,,,,
,,,,96670.56,116.35254001617432,13.71,74,-0.00037360191345214844,403,1.4698752,5114,0.014118822,0.0,-0.025159985,-409.3793472656251,,,,
,,,,104723.484,138.9374897480011,14.7,69,-0.0006051063537597656,472,1.4488609,6141,0.019306187,0.0,-0.030812368,-385.8461457031251,,,,
,,,,73441.62,161.69456720352173,15.39,67,-0.0016911029815673828,539,1.4573824,7164,0.015217471,0.0,-0.03216745,-389.07954492187514,,,,
,,,,70332.016,184.22637248039246,16.05,61,-0.00011372566223144531,600,1.4540803,8190,0.017533297,0.0,-0.0284675,-378.9296437500001,,,,
,,,,56047.605,206.62879705429077,17.06,58,0.00027507543563842773,658,1.4598466,9212,0.01103775,0.0,-0.026398584,-368.7797425781251,,,,
,,,,55095.133,229.10455560684204,18.01,54,-0.0012919902801513672,712,1.4420106,10222,0.0120825125,0.0,-0.0323324,-365.3964421875,,,,
,,,,68059.64,259.36859607696533,11.69,93,-8.26120376586914e-05,805,1.4368993,11261,0.009456658,0.0,-0.028523654,-362.01314179687506,,,,
,,,,71464.73,293.26882767677307,8.27,115,-0.0015094280242919922,920,1.4231917,12283,0.014104834,0.0,-0.0263922,-365.39644218750004,,,,
,,,,80856.91,325.94878697395325,9.72,104,-0.00036835670471191406,1024,1.4127176,13303,0.015760444,0.0,-0.03438539,-372.16304296875006,,,,
,,,,76027.77,359.8475806713104,8.96,115,-0.00017821788787841797,1139,1.3982146,14334,0.014972044,0.0,-0.028915513,-365.39644218750004,,,,
,,,,60623.016,387.4818341732025,12.26,78,-0.00026047229766845703,1217,1.4050032,15348,0.013223183,0.0,-0.026400689,-368.779742578125,,,,
,,,,42439.664,418.91704177856445,13.11,85,-8.96453857421875e-05,1302,1.392325,16378,0.008831686,0.0,-0.026433967,-338.3300390625,,,,
,,,,60290.266,451.9623534679413,10.7,96,-0.0007547140121459961,1398,1.3794233,17391,0.015306198,0.0,-0.032967936,-362.01314179687506,,,,
,,,,53668.57,485.2566411495209,10.58,99,-9.09566879272461e-05,1497,1.3653551,18432,0.0093334215,0.0,-0.027768934,-351.86324062500006,,,,
,,,,69908.74,520.0362589359283,8.65,109,-2.1338462829589844e-05,1606,1.3349177,19451,0.01044415,0.0,-0.025850791,-348.6298414062501,,,,
,,,,60417.7,555.274605512619,9.87,104,-0.0002523660659790039,1710,1.3201848,20480,0.010439825,0.0,-0.027742472,-351.86324062500006,,,,
,,,,62605.54,590.1632883548737,9.81,106,-7.2479248046875e-05,1816,1.3052437,21494,0.018677074,0.0,-0.033975646,-338.6298414062501,,,,
,,,,44589.98,624.4791502952576,10.31,100,2.1636486053466797e-05,1916,1.2850273,22525,0.01116544,0.0,-0.030637078,-341.71333945312506,,,,
,,,,65786.875,657.8601868152618,11.04,87,-0.00013709068298339844,2003,1.2562749,23537,0.014685283,0.0,-0.032403238,-368.9296437500001,,,,
,,,,36439.52,684.9906406402588,14.58,60,-0.0002193450927734375,2063,1.2223673,24571,0.011899391,0.0,-0.03353524,-348.6298414062501,,,,
,,,,48780.066,715.0267527103424,16.93,68,1.1920928955078125e-06,2131,1.2349155,25597,0.012135614,0.0,-0.028807964,-372.16304296875006,,,,
,,,,30477.305,748.7041158676147,12.95,83,9.065866470336914e-05,2214,1.2359563,26605,0.008557635,0.0,-0.02959344,-345.09663984375004,,,,
,,,,54900.125,783.960700750351,10.13,101,-3.981590270996094e-05,2315,1.2202474,27648,0.011952816,0.0,-0.034030337,-352.01314179687506,,,,
,,,,49492.363,816.4888648986816,12.79,72,-9.417533874511719e-05,2387,1.2411048,28656,0.009040589,0.0,-0.03106015,-362.16304296875006,,,,
,,,,53791.656,852.3327555656433,9.77,105,-6.556510925292969e-05,2492,1.2216523,29695,0.012981227,0.0,-0.028772809,-352.01314179687506,,,,
,,,,55904.516,885.2237181663513,11.79,75,2.384185791015625e-07,2567,1.2193884,30719,0.01166559,0.0,-0.03227616,-335.24654101562504,,,,
,,,,,,,,,,,,,,,,0.003506038176860148,0,0.003506038176860148,False
,,,,,15.859594345092773,15.5625,32,,32,,498,,,,-348.9028527832031,,,0.0,
,,,,,31.451574325561523,15.378787878787879,34,,66,,1015,,,,-363.96110262784094,,,0.0,
,,,,,48.34742283821106,12.86,48,,114,,1536,,,,-358.6298414062501,,,0.0,
,,,,,66.0802755355835,11.72,44,,158,,2039,,,,-355.24654101562504,,,0.0,
,,,,,81.45687747001648,11.99,37,,195,,2558,,,,-351.86324062500006,,,0.0,
,,,,55378.215,26.272672653198242,17.586206896551722,58,-2.0503997802734375e-05,58,1.2214453,1020,0.011440726,0.0,-0.027858306,-402.4960809536638,,,,
,,,,27085.16,58.00601124763489,13.92,78,0.0001519918441772461,136,1.2200178,2039,0.0086433785,0.0,-0.024807578,-368.7797425781251,,,,
,,,,68385.57,92.42536664009094,11.92,87,4.5299530029296875e-06,223,1.2225125,3072,0.016937375,0.0,-0.0312526,-342.01314179687506,,,,
,,,,45292.875,125.52740025520325,12.95,75,-0.03853154182434082,298,1.232523,4074,0.018756613,0.0,-0.03148976,-362.16304296875006,,,,
,,,,28788.037,157.84182739257812,14.57,66,0.00042510032653808594,364,1.2444313,5113,0.008154336,0.0,-0.028061109,-355.24654101562504,,,,
,,,,39270.875,190.81914591789246,13.94,78,-0.0017648935317993164,442,1.2529252,6139,0.012100802,0.0,-0.029247925,-365.39644218750004,,,,
,,,,42093.75,224.7975594997406,12.09,85,-0.00018298625946044922,527,1.244622,7165,0.0077825496,0.0,-0.027294945,-365.39644218750004,,,,
,,,,44479.57,257.8735496997833,13.89,74,-0.00016629695892333984,601,1.2544645,8191,0.015696758,0.0,-0.037643783,-389.0795449218751,,,,
,,,,34136.52,290.7987427711487,13.41,71,-2.86102294921875e-05,672,1.235071,9215,0.011145647,0.0,-0.028261691,-375.5463433593751,,,,
,,,,32840.867,318.4445798397064,16.74,56,-0.00010406970977783203,728,1.2321242,10236,0.012737328,0.0,-0.030978303,-378.9296437500001,,,,
,,,,28306.67,349.922669172287,17.59,61,-1.7642974853515625e-05,789,1.2273359,11248,0.010140959,0.0,-0.035448432,-362.01314179687506,,,,
,,,,38099.797,382.67278504371643,15.38,71,-9.78708267211914e-05,860,1.2192116,12278,0.012887919,0.0,-0.03514958,-368.7797425781251,,,,
,,,,35692.87,416.395085811615,13.15,77,-6.628036499023438e-05,937,1.2144766,13295,0.012223246,0.0,-0.035693903,-378.9296437500001,,,,
,,,,36643.613,449.5217773914337,14.22,75,0.0027686357498168945,1012,1.1960833,14312,0.015052824,0.0,-0.03461457,-341.86324062500006,,,,
,,,,27037.53,480.95173597335815,15.79,58,-0.02299344539642334,1070,1.1992494,15355,0.010124379,0.0,-0.03369578,-352.01314179687506,,,,
,,,,47145.297,513.487535238266,17.03,63,0.0041765570640563965,1133,1.1823481,16368,0.016290585,0.0,-0.033065204,-355.54634335937504,,,,
,,,,47397.156,547.1848809719086,15.76,74,0.06348925828933716,1207,1.1944625,17403,0.0103665525,0.0,-0.032318924,-358.7797425781251,,,,
,,,,30859.766,580.7494580745697,13.64,75,-0.047820448875427246,1282,1.1873915,18430,0.017507114,0.0,-0.03725192,-352.01314179687506,,,,
,,,,43501.516,610.7443573474884,16.94,54,-0.0013706684112548828,1336,1.1943238,19452,0.014674393,0.0,-0.038399585,-395.8461457031251,,,,
,,,,33731.05,638.5683882236481,19.61,49,0.017525792121887207,1385,1.1993506,20460,0.011109849,0.0,-0.029596113,-379.0795449218751,,,,
,,,,41495.99,670.1323189735413,18.05,60,0.0395357608795166,1445,1.1863737,21495,0.01411716,0.0,-0.03403129,-288.180137890625,,,,
,,,,51379.39,702.4279201030731,16.02,66,0.12298750877380371,1511,1.1741743,22519,0.0130820805,0.0,-0.036247708,-291.71333945312506,,,,
,,,,53714.492,736.5136866569519,14.97,73,0.036399781703948975,1584,1.1476071,23535,0.011621736,0.0,-0.0340976,-358.9296437500001,,,,
,,,,81197.95,769.5641968250275,13.83,73,0.07033151388168335,1657,1.1328603,24558,0.015765622,0.0,-0.03830194,-308.779742578125,,,,
,,,,37060.0,801.8805825710297,15.77,63,-0.02852034568786621,1720,1.1393691,25589,0.012479338,0.0,-0.029935395,-325.39644218750004,,,,
,,,,49272.156,836.5454127788544,15.32,73,0.020343244075775146,1793,1.1424495,26623,0.0122756045,0.0,-0.0358031,-372.46284531250006,,,,
,,,,25383.479,869.8628096580505,16.05,65,-0.04839456081390381,1858,1.1502731,27645,0.012225223,0.0,-0.026226148,-355.5463433593751,,,,
,,,,30838.275,901.8723092079163,17.34,57,0.014202654361724854,1915,1.1300822,28669,0.016543768,0.0,-0.033802733,-341.86324062500006,,,,
,,,,96885.8,927.7764298915863,20.01,45,0.0672716498374939,1960,1.1241446,29684,0.0129385805,0.0,-0.033275448,-224.79683750000004,,,,
,,,,81223.3,959.8835394382477,17.92,64,0.058447837829589844,2024,1.1160527,30695,0.009218637,0.0,-0.034123674,-191.56343828125006,,,,
,,,,,,,,,,,,,,,,0.019268774703557312,0.003506038176860148,0.019268774703557312,False
,,,,,16.683523893356323,14.222222222222221,36,,36,,512,,,,-106.29336805555558,,,0.19444444444444445,
,,,,,32.044198513031006,16.177419354838708,26,,62,,1003,,,,-138.84116368447587,,,0.16129032258064516,
,,,,,49.07461094856262,15.854166666666666,34,,96,,1522,,,,-178.24347371419267,,,0.13541666666666666,
,,,,,65.58255958557129,16.8,32,,128,,2046,,,,-214.79683750000004,,,0.1328125,
,,,,,81.22146415710449,17.02,25,,153,,2542,,,,-171.41353710937503,,,0.1503267973856209,
,,,,58479.63,33.566288232803345,14.528571428571428,70,-0.08883976936340332,70,1.1064329,1017,0.01809728,0.0,-0.037273154,-353.2581869419643,,,,
,,,,75647.87,65.66761517524719,16.07,64,0.03582322597503662,134,1.0703948,2031,0.012717848,0.0,-0.038100272,-268.62984140625,,,,
,,,,122647.59,98.87554740905762,15.29,70,0.11237698793411255,204,1.0347426,3062,0.012069038,0.0,-0.038679615,-211.86324062500003,,,,
,,,,76431.87,131.5346074104309,16.49,63,0.010063230991363525,267,1.0160912,4079,0.010419203,0.0,-0.035818666,-214.94673867187507,,,,
,,,,130680.016,164.464191198349,14.98,70,0.10547536611557007,337,0.97966504,5101,0.014952419,0.0,-0.03993636,-191.56343828125006,,,,
,,,,146359.0,190.8297324180603,18.58,47,0.06928807497024536,384,0.9669421,6144,0.014712043,0.0,-0.03368566,-94.64693632812504,,,,
,,,,154720.2,220.9329822063446,20.28,54,0.12171578407287598,438,0.9438352,7159,0.014141646,0.0,-0.039795123,-20.813932421875,,,,
,,,,158196.61,255.53627681732178,13.08,84,0.10768860578536987,522,0.9199655,8188,0.015599498,0.0,-0.041433025,-171.56343828125006,,,,
,,,,120859.91,288.876727104187,13.74,66,0.15348118543624878,588,0.87914824,9207,0.010561611,0.0,-0.04071217,-171.41353710937503,,,,
,,,,168707.6,321.10783553123474,17.04,59,0.126598060131073,647,0.85802674,10223,0.008932851,0.0,-0.0372399,-81.2636359375,,,,
,,,,149234.1,354.0061318874359,17.21,61,0.10906982421875,708,0.8342189,11254,0.0117463805,0.0,-0.039817974,-78.03023671875,,,,
,,,,201149.94,386.7047016620636,15.92,67,0.14046555757522583,775,0.80102915,12280,0.010570549,0.0,-0.03984391,2.4194667968750077,,,,
,,,,224772.08,420.20431542396545,14.27,75,0.1654474139213562,850,0.8021679,13308,0.01220055,0.0,-0.03477814,15.802767187500008,,,,
,,,,252769.23,453.8064286708832,16.28,63,0.12902021408081055,913,0.78637224,14321,0.014065629,0.0,-0.04117908,95.8027671875,,,,
,,,,231617.58,479.8713834285736,19.5,42,0.12010699510574341,955,0.77427036,15340,0.016553175,0.0,-0.03751605,183.01907148437502,,,,
,,,,282425.28,511.19355821609497,21.75,52,0.16900581121444702,1007,0.7734569,16368,0.015818344,0.0,-0.035648163,373.91847851562505,,,,
,,,,243125.62,543.3717887401581,17.84,61,0.16175591945648193,1068,0.77494437,17404,0.015267731,0.0,-0.04594363,253.318873828125,,,,
,,,,250481.02,575.6166405677795,18.25,49,0.08625936508178711,1117,0.76029116,18432,0.010688051,0.0,-0.037024066,193.01907148437502,,,,
,,,,209298.7,608.4466671943665,18.0,62,0.08938068151473999,1179,0.75020826,19451,0.01230144,0.0,-0.03608166,132.419466796875,,,,
,,,,260881.52,640.7285814285278,17.67,54,0.13677054643630981,1233,0.747058,20469,0.012239095,0.0,-0.045421563,139.03616640624998,,,,
,,,,255622.28,673.6909849643707,19.17,52,0.0336606502532959,1285,0.7181855,21484,0.010881727,0.0,-0.045100108,205.952668359375,,,,
,,,,244963.2,706.1887123584747,18.29,57,0.12589460611343384,1342,0.7040211,22512,0.012370748,0.0,-0.046208538,249.785672265625,,,,
,,,,224373.22,739.828821182251,17.1,63,0.07592564821243286,1405,0.68974876,23546,0.0141294,0.0,-0.042518213,196.40237187499994,,,,
,,,,250612.4,770.0947048664093,17.73,52,0.12963271141052246,1457,0.6633378,24559,0.012740147,0.0,-0.040418137,286.70217421875003,,,,
,,,,267131.06,798.8289391994476,19.34,53,0.09904515743255615,1510,0.6308089,25583,0.012299708,0.0,-0.039980125,370.23537578125,,,,
,,,,243210.5,831.1301271915436,17.7,58,0.04495668411254883,1568,0.6228062,26623,0.020671232,0.0,-0.050580584,259.78567226562495,,,,
,,,,265644.8,863.7049763202667,17.38,59,0.11657166481018066,1627,0.6086463,27641,0.013016419,0.0,-0.03809173,343.46877500000005,,,,
,,,,238799.1,896.1001403331757,16.45,60,0.07882606983184814,1687,0.6016679,28670,0.008504385,0.0,-0.03521581,206.40237187500003,,,,
,,,,219289.66,928.8404440879822,17.79,57,0.10857880115509033,1744,0.6001244,29677,0.014830932,0.0,-0.045674928,253.318873828125,,,,
,,,,247521.81,961.8211793899536,16.69,62,0.11528152227401733,1806,0.5952635,30720,0.013944897,0.0,-0.04577257,223.16897265625002,,,,
,,,,,,,,,,,,,,,,0.3377630121816168,0.019268774703557312,0.3377630121816168,False
,,,,,15.63401460647583,18.807692307692307,26,,26,,489,,,,561.6042112379807,,,0.7307692307692307,
,,,,,31.15348720550537,18.581818181818182,29,,55,,1022,,,,616.2739850852273,,,0.7454545454545455,
,,,,,48.023470401763916,17.50574712643678,32,,87,,1523,,,,549.4842353627873,,,0.7011494252873564,
,,,,,64.32274103164673,17.78,29,,116,,2043,,,,588.0512847656249,,,0.6982758620689655,
