algo,env.reward_type,env,env.set_additional_goal,EpRewMean,loss_pol_entpen,EpLenMean,loss_pol_surr,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,loss_ent,perf_flag,suc_percent,best_suc_percent,success percentage
ppo,distance_lambda_0.1,PlanarQuadEnv-v0,angle,,,,,,,,,,,,,,,,
,,,,-404.51760263104023,0.0,7.82,-0.023304913,1020,130,-9.238719940185547e-05,35.02571201324463,57494.883,0.010482518,130,1.3245041,,,,
,,,,-406.2599195874856,0.0,8.11,-0.025951933,2035,120,0.00010901689529418945,68.93640422821045,50088.465,0.0073204036,250,1.3359431,,,,
,,,,-398.47121892619936,0.0,6.99,-0.031608783,3068,136,2.7120113372802734e-05,104.25222563743591,53613.96,0.0138604175,386,1.3095629,,,,
,,,,-421.31249213870103,0.0,8.78,-0.021841787,4085,119,1.0609626770019531e-05,139.0575156211853,58312.215,0.013123767,505,1.315632,,,,
,,,,-435.2295385733487,0.0,9.08,-0.030267514,5115,113,8.881092071533203e-06,172.38925528526306,63882.273,0.013245234,618,1.3305557,,,,
,,,,-466.40385156348157,0.0,12.64,-0.026181126,6139,86,-9.620189666748047e-05,201.28058242797852,61714.47,0.009263693,704,1.3425368,,,,
,,,,-406.5002141262123,0.0,8.58,-0.027363913,7164,125,-0.00028645992279052734,236.1126732826233,50167.93,0.022452936,829,1.3476827,,,,
,,,,-428.1449904493711,0.0,8.52,-0.033526354,8183,126,1.633167266845703e-05,271.45371890068054,61343.582,0.010842523,955,1.3251073,,,,
,,,,-438.571970113011,0.0,8.47,-0.033317838,9211,110,5.829334259033203e-05,305.5051167011261,71489.58,0.0130605735,1065,1.3079394,,,,
,,,,-403.67569907625426,0.0,8.43,-0.027363349,10237,123,0.00021260976791381836,341.46657371520996,39157.105,0.010833999,1188,1.2912598,,,,
,,,,-423.1835182050383,0.0,10.24,-0.023726322,11261,100,-5.960464477539062e-07,374.4525742530823,42972.21,0.010992411,1288,1.2854723,,,,
,,,,-427.3439266456882,0.0,10.45,-0.030826464,12287,97,1.7881393432617188e-05,407.79156708717346,45872.113,0.011720415,1385,1.2819723,,,,
,,,,-413.724778231252,0.0,7.77,-0.032004956,13299,124,2.0563602447509766e-05,443.22249960899353,50403.33,0.0168642,1509,1.2809354,,,,
