env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,-0.036939286,24.902439024390244,22.817265272140503,1.108444,41,0.015494946,121497.26,-75.8826090610983,1021,41,0.032895445823669434,0.0,,,,
,,,,-0.035268452,25.59493670886076,45.19353413581848,1.0647504,38,0.009061576,172622.75,75.72216468843025,2022,79,0.08289933204650879,0.0,,,,
,,,,-0.034780543,26.17,67.7907931804657,1.0451156,39,0.013428255,164028.02,145.18902925903305,3072,118,0.04321181774139404,0.0,,,,
,,,,-0.03244598,26.45,90.22109007835388,1.0372477,38,0.008231261,151093.9,192.37719292991875,4072,156,0.0420646071434021,0.0,,,,
,,,,-0.034750603,26.57,112.78446340560913,1.0167552,39,0.010891004,180088.45,161.34723962685115,5111,195,0.06795251369476318,0.0,,,,
,,,,-0.037401408,26.5,136.3320872783661,0.9789226,39,0.009037044,181183.75,190.8622333263512,6136,234,0.0693327784538269,0.0,,,,
,,,,-0.034748003,25.7,158.73809051513672,0.9724054,40,0.009512027,179860.38,239.5015514360353,7147,274,0.09887295961380005,0.0,,,,
,,,,-0.031033628,25.76,181.2386815547943,0.9568317,39,0.010739134,218718.08,333.3368948492922,8185,313,0.12962794303894043,0.0,,,,
,,,,-0.03282672,26.03,203.58141565322876,0.9674871,39,0.012992154,239547.9,440.9524635359201,9199,352,0.0910348892211914,0.0,,,,
,,,,-0.03166818,26.39,226.00312495231628,0.9582131,39,0.01314212,238772.33,520.6771490877859,10237,391,0.13062024116516113,0.0,,,,
,,,,-0.036892407,26.07,248.4374008178711,0.94269747,39,0.013945632,220842.48,525.0983367981127,11244,430,0.13155800104141235,0.0,,,,
,,,,-0.037282687,25.93,270.8576810359955,0.91997427,40,0.013272233,230094.47,512.0685376885413,12279,470,0.16956233978271484,0.0,,,,
,,,,-0.03450864,26.12,293.32288241386414,0.91588014,38,0.011127781,212955.31,541.4152625162301,13297,508,0.144720196723938,0.0,,,,
,,,,-0.03964195,26.58,315.8871805667877,0.88412786,38,0.010313381,201499.38,529.9647608334499,14318,546,0.12692910432815552,0.0,,,,
,,,,-0.029957727,25.85,338.2955768108368,0.87772584,42,0.015611936,209898.47,545.2599104710774,15355,588,0.16389137506484985,0.0,,,,
,,,,-0.037093855,25.85,360.6030693054199,0.8833075,37,0.019776683,200215.27,575.8212351965587,16360,625,0.05817526578903198,0.0,,,,
,,,,-0.030582268,26.11,383.1065888404846,0.8604869,40,0.012059715,195817.62,548.0863539697276,17402,665,0.030389070510864258,0.0,,,,
,,,,-0.027818942,26.6,405.4805362224579,0.87174505,38,0.010505425,208636.23,570.4885463955757,18422,703,0.039478302001953125,0.0,,,,
,,,,-0.039529283,26.36,428.690936088562,0.8941918,40,0.013434483,210999.58,573.9867281652756,19450,743,0.03074347972869873,0.0,,,,
,,,,-0.0350843,26.13,451.67794919013977,0.8995561,39,0.018933825,211349.34,631.6350734716558,20458,782,0.022012829780578613,0.0,,,,
,,,,-0.032730043,25.97,474.12224674224854,0.8788712,39,0.017053276,212971.44,652.173881432915,21489,821,0.014212310314178467,0.0,,,,
,,,,-0.029176177,26.74,496.4457805156708,0.8773781,39,0.01130349,209391.4,714.7052781370079,22516,860,0.039719998836517334,0.0,,,,
,,,,-0.03200956,26.21,518.8055725097656,0.87395185,39,0.0121727185,200458.53,649.0221624790823,23536,899,0.0714719295501709,0.0,,,,
,,,,-0.027706191,26.07,541.4403467178345,0.8772068,39,0.015815044,199359.2,710.0780180771158,24560,938,0.0512617826461792,0.0,,,,
,,,,-0.033035018,26.32,563.8033442497253,0.87403846,39,0.013509973,199374.9,699.4560983401169,25576,977,0.07156968116760254,0.0,,,,
,,,,-0.03671203,26.01,586.1574785709381,0.88508505,41,0.014619248,198453.8,653.1505906160882,26619,1018,0.06382566690444946,0.0,,,,
,,,,-0.03350598,25.97,608.4525241851807,0.88229376,38,0.018613467,197175.69,660.2348911972383,27640,1056,0.03262138366699219,0.0,,,,
,,,,-0.026030231,26.68,630.8136911392212,0.88330436,38,0.012942891,210912.9,695.3942643331807,28664,1094,0.04243665933609009,0.0,,,,
,,,,-0.036858927,26.49,653.4538295269012,0.8791635,39,0.016248453,194177.06,689.0743227311764,29679,1133,0.029372811317443848,0.0,,,,
,,,,-0.034966562,26.51,675.9153707027435,0.8670651,38,0.009169238,187960.19,722.0092554044267,30701,1171,0.04895728826522827,0.0,,,,
,,,,,,,,,,,,,,,,0.6883005977796754,0.04041570438799076,False,0.6883005977796754
,,,,,26.05263157894737,11.169960975646973,,19,,,868.4961368811277,495,19,,,,,,0.9473684210526315
,,,,,26.63157894736842,22.30165958404541,,19,,,875.467210571395,1012,38,,,,,,0.9473684210526315
,,,,,26.362068965517242,33.49346923828125,,20,,,856.496158539804,1529,58,,,,,,0.9310344827586207
